BU_RL,AB_RL,Peeling_RL,BU_YG,AB_YG,Peeling_YG,BU_GH,AB_GH,Peeling_GH,BU_TM,AB_TM,Peeling_TM,BU_IM,AB_IM,Peeling_IM,BU_WC,AB_WC,Peeling_WC,BU_FG,AB_FG,Peeling_FG,BU_PA,AB_PA,Peeling_PA,BU_ML,AB_ML,Peeling_ML,BU_DUI,AB_DUI,Peeling_DUI
3.4285e-05,0.00116425,0.00424486,1.7742e-05,0.00108059,0.00456655,2.0205e-05,0.00125926,0.0066108,0.000152309,0.0110431,0.0285143,0.000105427,0.013775,0.0735066,4.5524e-05,0.00403383,0.0906977,0.000152383,0.0406037,0.0821917,3.18e-06,0.000130098,0.440711,0.000217817,0.11641,0.161424,0.000933326,0.592819,4.67089
2.0307e-05,0.00116319,0.00418276,1.0433e-05,0.00108649,0.00459416,1.1677e-05,0.00125706,0.0066193,0.000145338,0.0109447,0.0286013,0.000103637,0.0132458,0.0738062,4.6252e-05,0.00282912,0.0904293,0.00014006,0.0404007,0.0823042,5.754e-06,0.000219501,0.440665,0.000215249,0.116195,0.1607,0.000474796,0.567667,4.58964
1.8971e-05,0.00116003,0.00418268,1.071e-05,0.00107342,0.0045782,1.1716e-05,0.00124156,0.00660399,0.00014606,0.0109389,0.0282955,0.000104988,0.0130915,0.0729782,4.6505e-05,0.00283395,0.0904889,0.00014428,0.0404511,0.0821923,9.278e-06,0.000219438,0.442367,0.000212398,0.116474,0.160891,0.000484548,0.571061,4.58471
2.0103e-05,0.00116181,0.00418559,1.1816e-05,0.00107848,0.00458219,1.1495e-05,0.00124295,0.00662773,0.000145081,0.0108946,0.0282499,0.000111579,0.0132663,0.0729407,1.433e-05,0.000233349,0.0864568,0.00014568,0.0404238,0.0826383,7.809e-06,0.000279184,0.44069,0.000224072,0.11687,0.161589,0.000479761,0.56799,4.91147
1.956e-05,0.00116841,0.00418584,1.0152e-05,0.00107829,0.00457687,1.1685e-05,0.00124743,0.00663819,0.000142233,0.0109838,0.0285323,0.000105309,0.0129963,0.0730644,4.557e-05,0.00402456,0.0903259,0.000147923,0.0401431,0.0820244,3.393e-06,0.000212099,0.440815,0.000223457,0.116069,0.160924,0.00106922,0.698486,5.44579
1.9406e-05,0.00116094,0.00418227,1.0849e-05,0.00107556,0.00457339,1.1252e-05,0.00124692,0.0066893,0.000142527,0.0109126,0.0288376,0.000104438,0.0130573,0.0727624,4.4575e-05,0.00283688,0.0905717,0.000145212,0.0403199,0.0823878,2.726e-06,0.000219439,0.442127,0.000212271,0.116471,0.160821,0.00108805,0.736739,4.57948
2.0199e-05,0.00116249,0.00420435,1.0155e-05,0.00108658,0.0045854,1.1237e-05,0.00124997,0.00662904,0.000140891,0.0110235,0.0287253,0.000103098,0.0131073,0.072861,4.4727e-05,0.0028239,0.0907218,0.000140047,0.0406054,0.0827246,5.107e-06,0.000236749,0.440616,0.000210603,0.116473,0.160717,0.00057478,0.768778,4.66491
1.9356e-05,0.00116027,0.00418945,1.0319e-05,0.00108156,0.00458832,1.15e-05,0.00124447,0.00662236,0.000144023,0.0110074,0.0287823,0.000101204,0.0132012,0.0729563,4.6501e-05,0.00281924,0.0907228,0.000152119,0.0405629,0.0824231,7.684e-06,0.000270994,0.440761,0.000213854,0.116121,0.160481,0.000677769,0.52681,3.65682
1.9751e-05,0.00116613,0.00418761,1.0077e-05,0.00108391,0.00458306,1.246e-05,0.00124883,0.00663512,0.000143875,0.0109864,0.028664,0.00010332,0.0131324,0.0729608,4.5514e-05,0.00283002,0.0903658,0.000151699,0.0404103,0.0823078,5.768e-06,0.000209216,0.440319,0.000218068,0.116427,0.160792,0.000647402,0.51005,3.5954
1.9653e-05,0.00116673,0.00418396,1.1065e-05,0.00107756,0.00459093,1.1048e-05,0.00124308,0.00663475,0.000142345,0.0109643,0.0287458,0.000103553,0.0132248,0.0730664,4.4875e-05,0.00283369,0.0902549,0.000149739,0.0404943,0.0826595,3.082e-06,0.000219415,0.442085,0.00021026,0.116674,0.161264,0.000659941,0.516845,3.6092
